,Goal,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,SDG 1,1.0,Sustainable Development Goal 1,SDG 1,end poverty,reduce poverty,fight against poverty,end global poverty,poverty reduction,poverty and deprivation,combat poverty,eradicate poverty,tackle poverty,poverty alleviation,alleviate poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SDG 1,1.1,international poverty line, extreme poverty, abject poverty, absolute poverty,destitution,penury,severe deprivation,help people suffering from food and material deprivation,extremely poor,incidence of poverty,Households in poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SDG 1,1.2,severely materially deprived people,low work intensity,national poverty line,social exclusion,income poverty,combatting child poverty,children out of poverty,addressing child poverty,at risk of poverty,fight child poverty,poverty rate,living in poverty,poor households,multidimensional poverty,basic needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SDG 1,1.3,social risk,social protection,rights of persons with disabilities,rights of unemployed persons,rights of older persons,rights of pregnant women,rights of work-injury victims,rights of the poor,rights of the vulnerable,hiring subsidies,social security,child benefits,maternity benefits,support for unemployment,support for people without a job,benefits for persons with disabilities,benefits for victims of work injuries,benefits for older persons,family benefits,maternity protection,unemployment support,employment injury benefits,sickness benefits,disability pensions,old-age pensions,social welfare benefits,social spending,social services,social expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SDG 1,1.4,tenure rights,equal rights to economic resources,control over land,access to inheritance,rights to land,"
access to property",access to natural resources,access to new technology,access to financial services,access to microfinance,access to services,property rights,access to basic goods,basic goods for all,access to basic services,delivery of essential services,provide essential basic services,land tenancy right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SDG 1,1.5,disaster risk reduction,vulnerability in disaster,affected by extreme events,resilience of the poor,reduce vulnerability,resilience to disaster,disaster resilience,vulnerable people,protect livelihoods,build resilience to future shocks,build resilience to shocks,vulnerability to climate event,vulnerability to climate extreme event,vulnerability to economic shock,vulnerability to natural disaster,resilience to catastrophic events,vulnerability to catastrophic events,economic loss attributed to disasters,economic loss due to disasters,strengthen economic resilience,strengthen social resilience,preventing disaster risk,vulnerable groups,vulnerable social groups, vulnerable to external shocks,vulnerable individuals,vulnerable sections of the population,vulnerable population,vulnerable communities,resilience within communities,weakest population,vulnerability to earthquakes,resilience to earthquakes,earthquake risk,earthquakes resilience,plagues risk reduction,vulnerability to plagues,resilience to plagues,plagues resilience,preventing plagues risk,sandstorms risk reduction,vulnerability to sandstorms,resilience to sandstorms,sandstorms resilience,preventing sandstorms risk,vulnerability to extreme climate event,,,,,,,,,,,,
6,SDG 1,1.a,poverty reduction programmes,means for developing countries,reduce poverty in developing countries,reduce poverty LDCs,donors that focus on poverty reduction,development assistance for poverty reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SDG 1,1.b,pro-poor policy framework,poverty eradication actions,poverty reduction strategies,investments in poverty eradication,development strategies for poverty,Pro-poor public social spending,Pro-poor spending,Pro-poor investment,poor-oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SDG 2,2.0,Sustainable Development Goal 2,SDG 2,improve nutrition,lack food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SDG 2,2.1,sufficient food,undernourishment,end hunger,necessary nourishment,access to food,food access,food insecurity,food for all, food for the poor, food for people in vulnerable situations,food for vulnerable people,safe food,wholesome food,food safety,safety of food,food nutritional value,food security,zero hunger,acute hunger,people affected by hunger,starvation,acute undernutrition,famine, food needs,extreme hunger,food shortage,nutritious and affordable food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SDG 2,2.2,child growth standards,obesity rate,nutritional needs,nutritious food,stunting,malnutrition,malnourishment,obesity prevalence,childhood obesity,childhood nutrition,child nutrition,Prevalence of anaemia,wasting in children,children affected by wasting,underweight children,healthy and nutritious diets,healthy and sustainable diets,nutrition security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SDG 2,2.3,small scale food producers,farm employment,family farmers,agricultural productivity,support pastoralists,Agricultural Fund for Rural Development,help farmers,support farmers,smallholder farmers ability,small scale farmers,improves rural livelihoods,sustainably managing agricultural soils,decent living for farmers,decent living for fishermen,agricultural products,agricultural producers,agricultural output,agri-business,agro-processing,agricultural value chains,small farmers,productive land uses,increase livestock,improve pastoral transhumance,support pastoral farming,cotton production,maize production,crops production,yield production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SDG 2,2.4,sustainable food production systems,resilient agricultural practices,sustainable agriculture,soil quality,organic farming,make the agricultural system more resilient to climate change,environmentally-friendly food system,sustainable food supply chains,sustainable agri-food systems,risk of non-sustainable agriculture,eco-agricultural models,sustainable livelihoods Initiative,climate-friendly agriculture,environment-friendly agriculture,reduce the footprint of food production,agro-ecology,agroecology,sustainable food system,sustainable farming,climate-smart agriculture,resource efficient food production,agri-food production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SDG 2,2.5,animal genetic resources,cultivated plants,seed banks,GMO,domesticated animals,plant banks,plant genetic resources, genetic diversity of seeds,plant gene banks,livestock gene banks,breeds classified as being at risk of extinction,breeds at risk of extinction,silvopastoral and agroforestry production modes,genetic diversity in agriculture,genetic diversity of agricultural crops,agricultural area under high-diversity landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
